title,description,category,priority
Hostel room issue,The bathroom facilities require attention. Students at Academic Block are affected.,Hostel,Medium
Water supply problem,My hostel room requires maintenance. The issue is at Hostel A.,Hostel,Low
Student portal not working,WiFi is not working in my hostel. Students at Campus are affected.,IT / Wi-Fi,High
Computer network issue,I am facing a network connectivity problem. Students at Hostel A are affected.,IT / Wi-Fi,High
Library seat problem,The library timing is causing difficulty for students. I noticed this problem at Academic Block.,Library,Low
Room maintenance issue,Water supply has been irregular in the hostel. I noticed this problem at Library.,Hostel,Medium
Faculty related issue,My attendance is incorrect in the academic record. The issue is at Laboratory Block.,Academic,Medium
Book return issue,A computer in the library is not working. Students at Hostel A are affected.,Library,Medium
Hostel cleanliness problem,Water supply has been irregular in the hostel. I noticed this problem at Laboratory Block.,Hostel,High
Library timing problem,The digital library is not accessible. Students at Library are affected.,Library,Medium
Hostel room allocation issue,The hostel common area is not being cleaned properly. This has been causing inconvenience at Hostel C.,Hostel,High
Lab safety issue,The laboratory requires maintenance. Students at Hostel A are affected.,Laboratory,Low
Library facility problem,There are not enough seats available in the library. Students at Hostel B are affected.,Library,Medium
Computer network issue,Internet speed is extremely slow. This has been causing inconvenience at Main Gate.,IT / Wi-Fi,Medium
Missing lab equipment,There is a safety issue in the laboratory.,Laboratory,Critical
Lab workstation problem,One of the lab workstations is not working. Students at Library are affected.,Laboratory,Medium
Bus route problem,The college bus arrived late today. Students at Hostel B are affected.,Transport,Medium
Electrical repair required,A maintenance request has been pending.,Maintenance,High
Lab equipment problem,A computer in the laboratory is not functioning.,Laboratory,Medium
Library computer issue,There are not enough seats available in the library. Students at Laboratory Block are affected.,Library,High
Result not updated,The examination schedule has not been updated properly. The issue is at Campus.,Academic,Medium
Campus WiFi issue,I cannot log in to the student portal.,IT / Wi-Fi,Low
Reference book unavailable,The required book is not available in the library. I noticed this problem at Hostel B.,Library,Medium
WiFi not working,The student portal is not working properly. The issue is at Sports Complex.,IT / Wi-Fi,Low
Bus route problem,The college bus service is facing a problem. This has been causing inconvenience at Hostel C.,Transport,Medium
Lab workstation problem,There is a safety issue in the laboratory. Students at Campus are affected.,Laboratory,Critical
Lab workstation problem,The laboratory requires maintenance.,Laboratory,High
Hostel cleanliness problem,The hostel common area is not being cleaned properly. I noticed this problem at Hostel B.,Hostel,Low
Student portal not working,WiFi is not working in my hostel. The issue is at Hostel B.,IT / Wi-Fi,Medium
Hostel room issue,There is an electricity problem in the hostel.,Hostel,Medium
Laboratory facility issue,There is a safety issue in the laboratory. Students at Campus are affected.,Laboratory,Critical
Transport timing problem,The college bus requires maintenance. Students at Laboratory Block are affected.,Transport,Low
Room maintenance issue,There is an electricity problem in the hostel. This has been causing inconvenience at Laboratory Block.,Hostel,High
Attendance issue,My marks have not been updated on the student portal. I noticed this problem at Laboratory Block.,Academic,Low
Student portal not working,The student portal is not working properly. This has been causing inconvenience at Campus.,IT / Wi-Fi,Medium
Broken fan,There is a plumbing problem that needs attention. Students at Computer Lab are affected.,Maintenance,Low
Bus route problem,The college bus arrived late today.,Transport,Low
Hostel cleanliness problem,I have an issue with my hostel room allocation. This has been causing inconvenience at Laboratory Block.,Hostel,High
Internet speed problem,WiFi is not working in my hostel. This has been causing inconvenience at Hostel C.,IT / Wi-Fi,Low
Plumbing problem,A campus facility is damaged and needs repair. This has been causing inconvenience at Main Building.,Maintenance,High
Building maintenance issue,There is a problem with the classroom facilities. The issue is at Academic Block.,Infrastructure,Low
Library book unavailable,The required book is not available in the library. This has been causing inconvenience at Sports Complex.,Library,Medium
Attendance issue,The examination schedule has not been updated properly.,Academic,Low
Internet speed problem,The internet connection is unavailable. Students at Sports Complex are affected.,IT / Wi-Fi,High
Attendance issue,My internal assessment marks appear to be incorrect.,Academic,Medium
Lab safety issue,The laboratory requires maintenance. I noticed this problem at Academic Block.,Laboratory,High
